pml_id,exchange,underlying_scrip_code,segment,security_id,pml_symbol,vega,fresh_pos,iv,square_off_pos,desc,theta,gamma,spot_price,delta,price,stk_price,net_chg,oi,oi_per_chg,oi_net_chg,per_chg,traded_vol,symbol,expiry_date,option_type,instrument,name,tick_size,lot_size,exch_feed_time
5001485714,NSE,26000,D,40264,NIFTY-Feb2024-21000-CE,3.38,635,14.48,257,NIFTY2421521000CE,-18.84,0.0003,21617.20,0.90,636.25,21000.0,-165.15,233650.00,8.80,18900.00,-20.61,2621.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21000 CALL,5,50,2024-02-12T13:12:21
5001485776,NSE,26000,D,41740,NIFTY-Feb2024-21350-CE,6.67,541,18.26,211,NIFTY2421521350CE,-31.12,0.0007,21617.95,0.72,330.05,21350.0,-144.50,37150.00,79.90,16500.00,-30.45,2200.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21350 CALL,5,50,2024-02-12T13:12:15
5001485726,NSE,26000,D,40468,NIFTY-Feb2024-21200-CE,5.30,336,17.88,109,NIFTY2421521200CE,-26.09,0.0005,21619.70,0.82,455.80,21200.0,-158.45,80500.00,16.41,11350.00,-25.80,2053.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21200 CALL,5,50,2024-02-12T13:12:07
5001485932,NSE,26000,D,50287,NIFTY-Feb2024-23750-CE,0.00,346,37.66,166,NIFTY2421523750CE,-0.01,0.0000,21611.40,0.00,0.85,23750.0,0.05,107350.00,9.15,9000.00,6.25,1801.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23750 CALL,5,50,2024-02-12T13:10:57
5001485722,NSE,26000,D,40462,NIFTY-Feb2024-21100-CE,4.33,118,18.51,54,NIFTY2421521100CE,-22.47,0.0004,21617.35,0.86,546.65,21100.0,-154.35,41350.00,8.39,3200.00,-22.02,1026.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21100 CALL,5,50,2024-02-12T13:12:16
5001485770,NSE,26000,D,41730,NIFTY-Feb2024-21250-CE,5.84,218,18.66,118,NIFTY2421521250CE,-28.08,0.0006,21613.35,0.78,410.00,21250.0,-159.50,24400.00,25.77,5000.00,-28.01,632.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21250 CALL,5,50,2024-02-12T13:11:39
5001485724,NSE,26000,D,40464,NIFTY-Feb2024-21150-CE,4.86,25,17.06,32,NIFTY2421521150CE,-24.44,0.0005,21614.15,0.84,493.45,21150.0,-164.15,8050.00,-4.17,-350.00,-24.96,333.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21150 CALL,5,50,2024-02-12T13:10:21
5001485768,NSE,26000,D,40073,NIFTY-Feb2024-20900-CE,2.68,19,0.00,58,NIFTY2421520900CE,-16.11,0.0003,21597.60,0.93,714.75,20900.0,-184.75,6600.00,-22.81,-1950.00,-20.54,123.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 20900 CALL,5,50,2024-02-12T13:06:21
5001485720,NSE,26000,D,40460,NIFTY-Feb2024-21050-CE,3.93,12,16.60,13,NIFTY2421521050CE,-20.94,0.0004,21608.20,0.88,581.10,21050.0,-144.05,3600.00,-1.37,-50.00,-19.86,64.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21050 CALL,5,50,2024-02-12T13:11:22
5001485764,NSE,26000,D,39740,NIFTY-Feb2024-20800-CE,1.67,0,16.89,10,NIFTY2421520800CE,-12.18,0.0002,21641.50,0.96,859.70,20800.0,-138.30,15600.00,-3.11,-500.00,-13.86,31.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 20800 CALL,5,50,2024-02-12T12:52:53
5001485740,NSE,26000,D,39696,NIFTY-Feb2024-20500-CE,0.56,3,0.00,14,NIFTY2421520500CE,-7.79,0.0001,21594.80,0.99,1104.50,20500.0,-179.45,34450.00,-1.57,-550.00,-13.98,20.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 20500 CALL,5,50,2024-02-12T13:01:46
5001485738,NSE,26000,D,39694,NIFTY-Feb2024-20450-CE,0.34,0,0.00,10,NIFTY2421520450CE,-6.91,0.0000,21647.95,0.99,1208.00,20450.0,-72.75,3100.00,-13.89,-500.00,-0.45,16.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 20450 CALL,5,50,2024-02-12T12:55:07
5001485757,NSE,26000,D,39721,NIFTY-Feb2024-20700-CE,1.40,5,0.00,6,NIFTY2421520700CE,-11.11,0.0001,21584.70,0.97,898.10,20700.0,-212.45,10950.00,-0.45,-50.00,-19.13,13.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 20700 CALL,5,50,2024-02-12T13:02:21
5001485736,NSE,26000,D,39691,NIFTY-Feb2024-20400-CE,0.27,0,0.00,3,NIFTY2421520400CE,-6.65,0.0000,21641.60,1.00,1247.00,20400.0,-147.25,3400.00,-4.23,-150.00,-10.56,9.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 20400 CALL,5,50,2024-02-12T12:14:04
5001485751,NSE,26000,D,39713,NIFTY-Feb2024-20650-CE,1.01,0,0.00,5,NIFTY2421520650CE,-9.61,0.0001,21614.20,0.98,977.00,20650.0,-148.00,700.00,-26.32,-250.00,-13.16,8.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 20650 CALL,5,50,2024-02-12T13:11:51
5001485766,NSE,26000,D,39751,NIFTY-Feb2024-20850-CE,1.82,1,0.00,2,NIFTY2421520850CE,-12.72,0.0002,21672.60,0.96,840.00,20850.0,-50.00,500.00,-9.09,-50.00,-5.62,6.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 20850 CALL,5,50,2024-02-12T12:31:34
5001485747,NSE,26000,D,39709,NIFTY-Feb2024-20600-CE,0.58,3,0.00,0,NIFTY2421520600CE,-7.88,0.0001,21703.30,0.99,1116.55,20600.0,-93.45,1150.00,15.00,150.00,-7.72,6.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 20600 CALL,5,50,2024-02-12T11:39:18
5001485746,NSE,26000,D,38699,NIFTY-Feb2024-20000-CE,0.03,0,0.00,3,NIFTY2421520000CE,-5.58,0.0000,21592.10,1.00,1600.00,20000.0,-202.95,19950.00,-0.75,-150.00,-11.26,6.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 20000 CALL,5,50,2024-02-12T13:01:38
5001485762,NSE,26000,D,39738,NIFTY-Feb2024-20750-CE,1.16,0,28.89,0,NIFTY2421520750CE,-10.02,0.0001,21711.10,0.98,990.00,20750.0,-47.05,4850.00,0.00,0.00,0.00,2.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 20750 CALL,5,50,2024-02-12T10:00:56
5001485728,NSE,26000,D,39671,NIFTY-Feb2024-20200-CE,0.07,1,0.00,0,NIFTY2421520200CE,-5.78,0.0000,21694.30,1.00,1495.85,20200.0,-59.80,11650.00,0.43,50.00,-1.68,2.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 20200 CALL,5,50,2024-02-12T11:00:34
5001485674,NSE,26000,D,37267,NIFTY-Feb2024-19600-CE,0.00,0,0.00,0,NIFTY2421519600CE,-5.37,0.0000,21827.85,1.00,2225.00,19600.0,30.00,500.00,0.00,0.00,0.00,1.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 19600 CALL,5,50,2024-02-12T09:19:31
5001485670,NSE,26000,D,37263,NIFTY-Feb2024-19500-CE,0.00,0,0.00,0,NIFTY2421519500CE,-5.34,0.0000,21593.00,1.00,2100.00,19500.0,-191.80,2350.00,0.00,0.00,0.00,1.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 19500 CALL,5,50,2024-02-12T13:01:37
